plasmid,exp,rep,time,mean_BFP,var_BFP,cv2_BFP,mean_mCherry,var_mCherry,cv2_mCherry,n_cells
SP430,KD,R3,0.0,266.77569580078125,32591.78125,0.4579473752315085,1558.5828857421875,354734.59375,0.14603055533923195,4710
SP430,KD,R3,3.0,1174.7198486328125,1788950.25,1.2963720214981627,1553.3902587890625,331253.46875,0.13727747421263092,4726
SP430,KD,R3,6.0,1878.063232421875,4814373.5,1.3649582225079195,1484.44091796875,385115.46875,0.17476929289508542,2118
SP430,KD,R3,8.0,2100.392333984375,5769705.5,1.3078345227636285,1421.62841796875,404234.8125,0.2000145177375291,2177
SP430,KD,R3,25.0,1411.4000244140625,1435473.625,0.7206011918190227,738.045654296875,171542.984375,0.31492454207628695,3265
SP430,KD,R3,50.0,2971.500244140625,9012757.0,1.0207188175502484,450.43988037109375,117371.6875,0.5784817731726936,5315
SP430,KD,R3,100.0,1663.411865234375,2044914.0,0.7390527855199509,739.138427734375,193523.671875,0.3542277104282023,1906
SP430,KD,R3,150.0,1396.5233154296875,1624668.75,0.8330449681376433,663.431640625,172818.71875,0.3926435074729833,4441
SP430,Rev,R1,0.0,3026.25341796875,10410064.0,1.136692026546371,718.1856689453125,228533.875,0.4430748652575945,10912
SP430,Rev,R1,1.0,1557.3839111328125,7525451.5,3.1027100578764073,694.7431030273438,194202.8125,0.40235279916485805,12329
SP430,Rev,R1,3.0,937.0499877929688,2649678.0,3.0176410653716035,570.522216796875,166621.0625,0.5118995850397663,4113
SP430,Rev,R1,6.0,649.0878295898438,1327420.75,3.1506609469158127,532.982177734375,151528.234375,0.5334186412651586,2021
SP430,Rev,R1,25.0,298.3546447753906,46625.6484375,0.5237925029834728,1059.52685546875,228951.140625,0.20394772880338458,4594
SP430,Rev,R1,50.0,171.89865112304688,17092.58203125,0.5784458840893578,1288.62890625,381295.46875,0.2296179873703538,5178
SP430,Rev,R1,100.0,126.15010833740234,9233.841796875,0.5802393445622901,1323.6185302734375,297530.34375,0.16982654995943233,5835
